text,label,reasons
"""

Hi

No, I am a Khalsa. I feel sorry for you because you are misguided in your edits. As a Sikh I live by Guru Gobind Singh's teachings, as Guru Gobind Singh said, """"A Sikh has high Wisdom but is humble"""". We should respect everyone the Guru would be horrified if we did not respect & help everyone. A Sikh is NEVER aggressive, rude or offensive and we are ALWAYS flexible, open-minded and help our fellow human brothers. The only exception is on the battlefield in war, where you fight as a very last resort in self-defence. If you are a Sikh then you are brother then I will help you. Those RSS idiots have got nothing to do with this.  """,safe,[]
"""

 File:A6b.jpg listed for deletion 
An image or media file that you uploaded or altered, File:A6b.jpg, has been listed at Wikipedia:Images and media for deletion. Please see the discussion to see why this is (you may have to search for the title of the image to find its entry), if you are interested in it not being deleted.    (talk) """,safe,[]
"your recent edits 

Thank you for experimenting with  Wikipedia. Your test worked, and it has been reverted or removed. Please use the sandbox for any other tests you may want to do. Take a look at the welcome page to learn more about contributing to our encyclopedia.  Talk",safe,[]
"What an amazing coincidence the admin who deals with this complaint should also have military history listed as their areas of expertise. Nothing untoward going on here then.

It's c***s like you who ensure the information in wiki remains unreliable.",toxic,['toxic']
", so do us all a favour and just fuck off instead, hahaha",toxic,"['toxic', 'obscene']"
I'd be very interested in the outcome of the interviews.,safe,[]
"Nice work, I noticed the Doctor is/was missing from the Bacon mania merge discussion at Talk:Bacon#Merge proposal...I am looking forward to seeing the upcoming AfD that might come of this...",safe,[]
United States home front during World War II.  If there are no significant objections I'll move it accordingly in a day or two.,safe,[]
"""

 Here's a Falafel for you you fat piece of shit. 

  HURRICANEFAN25! Y U NO LET ME VANDALIZE!? PLEASE STOP OR I WILL BE FORCE TO MUSHROOM STAMP YOU WITH A FUCKING GOAT HORN! The Game.   """,toxic,"['toxic', 'obscene', 'insult']"
"Thanks for replying back. 173.50.64.195 has been driving me nuts and probably s/he is putting false information on the page. Therefore, I requested a page protection for the List of programs broadcast by Qubo page for vandalism and putting future tv shows in which it has not happened yet.",safe,[]
"Info boxes 

Some of the parameters given in the 2nd box should also be incorporated in the first box and vice versa.",safe,[]
"Please do not vandalize pages, as you did with this edit to Nickelback.  If you continue to do so, you will be blocked from editing.  Thank you.",safe,[]
"I used the exact same bullshit you wrote, hypocrite.",toxic,"['toxic', 'obscene', 'insult']"
"Marian persecutions 

Hi. You placed some critical tags on this article. Since you have given no explanation on the talk page, I take it you were not very serious about it; so I've removed them. Feel free to reopen any constructive discussion. Cheers,",safe,[]
That's only an estimation. We have no way of knowing what date he was born on.,safe,[]
"Hey whats going on here? Surely you guys aren't picking on a kid with down syndrom, are you?",safe,[]
"OKAY BUDDY you are a MEANY u make me cry. so i am here to tell you that u can suck my balls cause you are making me have no fun. Oh and also ur moms a total babe, tell her to give me a call sometime. And oh i left my wallet there so make sure u reaturn it please. Alright thanks bye.",toxic,"['toxic', 'obscene']"
you are a gay anti-hindu bastard,toxic,"['toxic', 'severe_toxic', 'obscene', 'insult', 'identity_hate']"
"The Motor City Machine Guns 

What the fuck is wrong with you? Just exactly what part of my edit is vandalism? The moves I removed look like they've been written by a fucking retard and I added the entrance song they used in ROH.",toxic,"['toxic', 'obscene']"
I agree with you Son Of Kong.,safe,[]
Complaints/Mistakes,safe,[]
"Grow up? You make me laugh. And by the way, you contradicted yourself when you said you hadn't touched my edits. I never even referenced Final Fantasy VII when leaving a message to you. You DID mess with my edits BY reverting them, therefore you DID fuck with them. Now go research what I said and stop discriminating against users, asshole. This isn't your own private playground where you can fuck with people.",toxic,"['toxic', 'obscene', 'insult']"
"Fuller's Account of Battle Date 

The battle date is shortly after June 21-22, 168 B.C., after a recorded eclipse of the Moon, but the exact date is not known, according to J.F.C. Fuller.  The Macedonians reportedly had some kind of outcry that defeat was at hand for them until the eclipse passed, and the Romans were given an explanation that the eclipse is part of nature and natural, so the Romans did not panic.",safe,[]
YOU SUCK!! Deadly ASSASSIN IS GAY,toxic,"['toxic', 'severe_toxic', 'obscene']"
"""

  -You can mention whining and abusive behaviour all you like, but I think you know the real reason that you are spending so much time on line, and so little interacting with people offline. You pursued me, and I don't care whether you hide behind a rulebook or not. You have absolutely no understanding of literature, or the arts. Unlike you, I actually work in that area.

You are a bully, and have been cutting a destructive swathe across Wikipedia for some while now. It is a pity that this entire website seems to be taken over by idiot savants, anal retentives and Asperger's types, but there you go. Quoting your beloved website:

""""The term anal retentive (also anally retentive), commonly abbreviated to anal, is used to describe a person who pays such attention to detail that the obsession becomes an annoyance to others, potentially to the detriment of the anal-retentive person.""""

 As for  - you're promoted above yourself, and are clearly unfit for your role. Try looking at both sides of a problem. You've screwed up this time, and should quit before you screw up other people's enjoyment of this website even more. I don't really care if I get banned by you at all, since you've got no power over me whatsoever. You need to spend more time off your computer as well and talking to people face to face. Get some fresh air.-  """,toxic,['toxic']
"Now that her birthday is finally here, it's easy enough to get her real former name from nashville city hall.  Birth Records and Name change records are a matter of public information.",safe,[]
"Your attitude is sliding straight downhill. As soon as I identify who died and made you God of Wikipedia, I'll address your idiosyncratic interpretation of the rules for 'official'. Most people would interpret 'an official page' to mean 'an official page' rather than 'the official page'. Furthermore, someone who apparently can't figure out how to get past an introductory video in Google Earth really shouldn't be throwing stones, although one is tempted to throw in a comment about 'stone-age' and 'dinosaur'. I did add some wordage about the 'tours' as there may well be others like you who aren't familiar with Google Earth. Wouldn't you prefer returning to ODP and working on a category or something?",safe,[]
"You little pussies. This banning is totally worth it. Do what you will, but you two remain vile little anal mucnhers forever.",toxic,"['toxic', 'obscene', 'insult']"
"Poor Joe 

But I thought Joe Vialls was dead.  Good job on the Pan Am Flight 103 article by the way, Joe.",safe,[]
"Please stop. If you continue to blank out (or delete portions of) page content, templates or other materials from Wikipedia, as you did to Essay, you will be blocked from editing.   
If this is a shared IP address, and you didn't make the edit, consider creating an account for yourself so you can avoid further irrelevant notices.",safe,[]
"Hello 

I am out to get you and will you please leave me alone! i have an account on wikipedia and i think that you should shut yours down!!! All you want to do is get on peoples nerves!! if you think that fisher queen should be gone leave a message on user:jackwen. good day!!!!!!",toxic,['toxic']
"Do you know what you are? You are a stupid Canadian. And do you know what stupid Canadians do? Nothing. They speak French, and play stupid ice sports. Case closed.",toxic,"['toxic', 'insult', 'identity_hate']"
"""

 Yeah 

You're right, he's a complete cock. Runs and tells his boyfriend whenever anyone questions the shitty job he does of """"creating"""" pages.""",toxic,"['toxic', 'obscene']"
"Aircraft compliment? 

Why does it say over 75, then claim it's going to be larger and thus can hold more aircraft than the Nimitz class? The Nimitz class can hold over 90 aircraft. Doesn't make much sense to say it can hold more than the Nimitz then give the aircraft compliment as less than what the Nimitz can hold.",safe,[]
HongQiGong is correct. 218.186.8.234,safe,[]
"A tag has been placed on Camelion, requesting that it be speedily deleted from Wikipedia. This has been done because the article seems to be about a person, group of people, band, club, company, or web content, but it does not indicate how or why the subject is notable, that is, why an article about that subject should be included in Wikipedia. Under the criteria for speedy deletion, articles that do not assert notability may be deleted at any time. Please see the guidelines for what is generally accepted as notable, and if you can indicate why the subject of this article is notable, you may contest the tagging. To do this, please add  on the top of the page and leave a note on the article's talk page explaining your position.   Please do not remove the speedy deletion tag yourself, but don't hesitate to add information to the article that would confirm its subject's notability under the guidelines.

For guidelines on specific types of articles, you may want to check out our criteria for biographies, for web sites, for bands, or for companies. Feel free to leave a note on my talk page if you have any questions about this.",safe,[]
"Edits to Cloverfield_(creature) 

I have responded to your edit comment where you asked how the content was OR at Talk:Cloverfield (creature)#Size yet again.  You may want to take a look at it. Thanks. -",safe,[]
"""

 Nonexistent Image in """"Name"""" 

The image () in the section called name doesn't exist. We can't have something red like that mucking up our featured article. Perhaps we can use  instead.   """,safe,[]
"Award !
For proposing that the Rosetta stone has a Yugoslav language instead of the globally known, fully translated Egyptian demotic script between Greek and Egyptian hieroglyphs you are presented the award of .
 Well done JACKASS! 150.140.229.196",toxic,['obscene']
"Is this the same loser that got booted off of the reality show 'America's Got Talent' for doing nothing but bouncing around half naked screeching a violin and moaning in a terrible falsetto??  If it is, the article should mention that.  Millions saw that while only a handful saw the 'Academy Award winning documentary' *snicker* for God's sake.65.69.81.2",toxic,['toxic']
Who are the people coming out of the woodwork?,safe,[]
"hey dickwads. stop hijacking this wiki. these are the final days of ytmnd. they need to be documented. PS BY THE WAY, you're a fucking idiot for believing a wiki article as fact. do a whois lookup. fucking wikinazis. oopssorryguys.ytmnd.com/
http://en.wikipedia.org/wiki/1st_amendment
http://en.wikipedia.org/wiki/Censorship",toxic,"['toxic', 'obscene', 'insult']"
"""create an account]]  and log in 'Due to persistent vandalism (), anonymous editing from your school, library, or educational institution's IP address  disabled. You will continue to have access to read the encyclopedia. If you are logged in but still unable to edit, please follow these instructions. To prevent abuse, account creation via this IP address might also be disabled.

If editing is required for class projects, please have your instructor or network administrator contact us (with reference to this IP address) at unblock-en-l from an email address listed on your school's website. Alternatively, if you have no Internet access at home, you may email us using your school-issued email address, telling us your preferred username. Or you may use the form here. An account will be created for you. Please check on [ this list] that the username you choose has not already been taken.

If this is a shared IP address, and you didn't make the edit, consider [[Wikipedia:Why create an account?|""",safe,[]
"November 2015 (UTC)
Fuck off. Your accusations are baseless, your writing style is atrocious. Prose means prose, not fluff. -   00:39, 16",toxic,"['toxic', 'obscene', 'insult']"
"help
This 'Historian' now thinks that 'Sanhedrin' is closer to Neturei Karta than to Kach. He is also seeing a fusion of Kach and Neturei Karta, since 'both oppose the state'. I tried to clarify it, giving some examples of the thought of NK and Kach (without naming either), and what is his conclusion - 'the press releases of the Sanhedrin so far are more like NK'. Please, please, try to explain to him that I am right. How do you explain Jewish politics to somebody with the brain of a fish??  | (talk)",toxic,['toxic']
"Sucker 

Sucking that long di*k of those chicken fuc*ers.",toxic,"['toxic', 'severe_toxic', 'obscene', 'insult']"
"Worldwide View 

Why is the American view so prominent?  One exameple is the IPAed 'international' in both General American and Received Pronoucation?!?!",safe,[]
"Halcy 

Seems like you get mad alot. Want me to call the WAAAAAMBULANCE for you? Want some dick (extra small) with that too, bitch? U mad? butthurt? I bet you're having an orgy with MeetTheMedic and MeepTheSheep, aren't you? You three would make a good threesome. You're all reject 4-Chan trolls that became admins on another website to have Unwarranted Self Importance while you spam faggot and dick all day. Seems like you enjoy that kind of stuff. I had no idea, really. 

TL;DR: U mad?",toxic,"['toxic', 'severe_toxic', 'obscene', 'insult']"
"Allah... 

Allah, a Muslims version of Santa Claus for juvenile adults who feel the need to think a magical all seeing eye lives in the sky. *facepalm*!!!!",safe,[]
"""

 Help Please! An evil Wikipedia editor attacks aviation pioneers Coanda and Vuia constantly TAB 

Unfortunately, an evil Wikipedia editor (who uses a multitudes of names ( Romanianlies, Romaniantruths, Binksternet, Soundofmusicals, Andy Dingley, GraemeLeggett, BilCat, ... ) and is also in the Bord of Editors, so he has more power on Wikipedia that an ordinary contributor) has been attacking for more than three years various aviation pioneers, amongst others Traian Vuia and Henri Coanda, for unknown reasons. TAB 

In general, as soon as he sees the two names in Wikipedia articles he immediately adds the word """"unsuccessful"""" and other unjustified bad characterizations, multiple times.TAB 
TABTAB 
Any attempt to delete these unfair remarks always fails and the user who dare to confront Romanianlies gets suspended.TAB 
TABTAB 
Something has to be done. If you have an idea feel free to share it. This man is paid with donations from Wikipedia supporters and he simply abuses his position and denigrates, at will and with no justifications, personalities that he does not like.TABTAB

The last contribution of this evil man (under the name BilCat) was at this page: 
http://en.wikipedia.org/wiki/Aircraft_engine
where he added the word """"unsuccessful"""" in connection with Coanda-1910 plane/engine making it the only unsuccessful thing in a large list of engines.""",toxic,['toxic']
"No, go ahead, we'd love to hear your bright ideas. Oh, wait, you are a coward, nevermind, f off",toxic,['toxic']
"Well, Han-wu is considered more as a gift and occasional treats in Korea, rather than simple ingredients or cuisine. If you go to any website that exclusively sells Han-wu like this random one from google (http://adhanwoo.co.kr/) you will see what I mean. I was just trying to point out a particular Korean culture about Korean beef. (Funny thing is only beef has this trend - we don't do gift with pork or chicken D)",safe,[]
{{unblock] i do not belive it is fair for me to be blocked and the unregistered user has been warned several times and has yet to be blocked. i was just defending myself yet he keeps coming into my talk and call me out. it just does not seem like justice.}},safe,[]
"""

Administrator assessment: the warning above was inappropriate. See my further comments below.  (talk •  contribs •  global count)  

""",safe,[]
"Removed line regarding academic rejection 

The sources which stand against Acharya S are not scholarly, but rather Christian Apologists.  2601:882:100:D7B0:D1FA:BE1C:3CA:AF52",safe,[]
"This article sucks 

woo woo wooooooo",toxic,"['toxic', 'obscene']"
